tier,category,fileName,current_title_ja,new_title_ja
premium,plain,seated-knee-extension.png,四頭筋トレーニング-斜め,
premium,plain,seated-leg-open-stretch.png,開脚してストレッチ,
premium,plain,seated-leg-raise-hold.png,足をあげた状態をキープ,
premium,plain,seated-leg-raise.png,レッグレイズ,
premium,plain,seated-neck-rotation-stretch.png,頚部の回旋,
premium,plain,seated-popliteal-stretch.png,腋窩のストレッチ,
premium,plain,seated-shoulder-flexion-with-towel.png,両手でタオルを把持して、肩関節屈曲運動,
premium,plain,seated-side-step-exercise.png,イス座位でサイドステップ,
premium,plain,shoulder-horizontal-adduction-stretch.png,肩甲骨外転ストレッチ,
premium,plain,shoulder-raise-with-bar.png,棒を使用した肩関節屈曲運動,
premium,plain,shoulder-raise.png,肩挙上運動,
premium,plain,side-bridge.png,サイドブリッジ,
premium,plain,side-lying-hip-abduction.png,側臥位で股関節外転運動,
premium,plain,side-plank-on-elbow.png,肘をついてサイドプランク,
premium,plain,side-step.png,サイドステップ,
premium,plain,single-leg-bridge.png,片足ブリッジ,
premium,plain,single-leg-heel-raise.png,片足ヒールライズ,
premium,plain,single-leg-stand.png,イスを把持して片足立ち,
premium,plain,sit-to-stand-using-chair.png,イスを使用した立ち座り,
premium,plain,sit-to-stand-with-parallel-bars.png,支持物ありで立ち座り,
premium,plain,sitting-quadriceps-stretch.png,座って四頭筋ストレッチ,
premium,plain,squat.png,スクワット,
premium,plain,stair-step-right-up-left-down.png,階段昇降,
premium,plain,standing-armpit-stretch.png,立位で腋窩のストレッチ,
premium,plain,standing-dumbbell-scaption.png,立位でスキャプション,
premium,plain,standing-hip-abduction.png,立位で股関節外転運動,
premium,plain,standing-left-side-bend-with-towel.png,タオルを使用した体幹の側屈-立位,
premium,plain,standing-leg-raise.png,立位でレッグレイズ,
premium,plain,standing-right-side-bend-with-towel.png,立位で体幹の側屈,
premium,plain,standing-trunk-rotation-stretch.png,立位で体幹の回旋,
premium,plain,step-exercise.png,ステップ運動,
premium,plain,step-left-with-band.png,ゴムチューブを使用したステップ運動-左,
premium,plain,step-right-with-band.png,ゴムチューブを使用したステップ運動-右,
premium,plain,step-to-side.png,段差を用いたサイドステップ,
premium,plain,step-up-and-down.png,段差を用いた前方へのステップ,
premium,plain,supine-hamstring-stretch-with-towel.png,臥位で下後面のストレッチ,
premium,plain,supine-shoulder-flexion-with-both-hands.png,臥位で両肩の屈曲運動,
premium,plain,thumb-pinky-opposition.png,母指と小指の対立,
premium,plain,towel-gather.png,タオルギャザー,
premium,plain,towel-side-bend.png,タオルを使用して体幹の側屈,
premium,plain,towel-trunk-rotation.png,タオルを使用して体幹の回旋-立位,
premium,plain,treadmill-walking.png,トレッドミル,
premium,plain,trunk-extension-stretch.png,体幹の伸展,
premium,plain,trunk-flexion-stretch.png,体幹の屈曲,
premium,plain,trunk-rotation.png,体幹の回旋,
premium,plain,walking.png,ウォーキング,
premium,plain,wall-achilles-stretch.png,壁を使用してアキレス腱のストレッチ,
premium,plain,wall-push-up.png,壁を使って腕立て,
premium,plain,wall-slide.png,ウォールサイド,
premium,plain,wall-squat.png,壁にもたれて空気イス,
premium,plain,wheelchair-seating-tips.png,車椅子座位姿勢,
premium,text,air-bike.png,エアロバイク【文字あり】,
premium,text,ankle-dorsiflexion-and-plantarflexion.png,足関節の底屈・背屈【文字あり】,
premium,text,cane-walking.png,杖歩き【文字あり】,
premium,text,cat-and-dog.png,キャットアンドドッグ【文字あり】,
premium,text,chest-opening-with-stretch-pole.png,胸開き運動【文字あり】,
premium,text,chopstick-training-with-azuki.png,小豆を使用しての箸操作【文字あり】,
premium,text,coin-finger-movement-training.png,硬貨を使用しての指運動【文字あり】,
premium,text,contraindicated-exercises-for-spine.png,脊椎疾患の禁忌運動【文字あり】,
premium,text,diagonal-exercise.png,ダイアゴナル【文字あり】,
premium,text,door-way-stretch.png,ドアウェイストレッチ【文字あり】,
premium,text,double-leg-raise.png,両足レッグレイズ【文字あり】,
premium,text,draw-in.png,ドローイン【文字あり】,
premium,text,dumbbell-shoulder-abduction.png,ダンベルを使った肩関節外転運動【文字あり】,
premium,text,elbow-flexion-with-bar.png,棒を使った肘の屈伸【文字あり】,
premium,text,fixed-walker-walking.png,固定型歩行器歩行【文字あり】,
premium,text,foot-rolling.png,ボールを使用した足裏マッサージ【文字あり】,
premium,text,forearm-hand-stretch.png,前腕のストレッチ【文字あり】,
premium,text,fullbody-chopstick-training-with-azuki.png,小豆を使った全身の箸操作【文字あり】,
premium,text,hamstring-stretch.png,下後面のストレッチ【文字あり】,
premium,text,hand-support-plank.png,手を支えながらプランク【文字あり】,
premium,text,heel-raise.png,ヒールライズ【文字あり】,
premium,text,heel-slide.png,,
premium,text,hip-abduction-with-band.png,,
premium,text,hip-extension-exercise.png,,
premium,text,hip-flexion-with-knee-extended.png,,
premium,text,hip-hinge-with-bar.png,,
premium,text,hip-hinge.png,,
premium,text,hip-lift.png,,
premium,text,knee-flexion-extension-with-feet-flat.png,,
premium,text,knee-plank.png,,
premium,text,neck-flexion-extension-stretch.png,,
premium,text,neck-side-bend-stretch.png,,
premium,text,nordic-walking.png,,
premium,text,parallel-bar-walking.png,,
premium,text,peg-manipulation.png,,
premium,text,pelvic-tilt.png,,
premium,text,pendulum-exercise-with-bottle.png,,
premium,text,plank-good-bad-example.png,,
premium,text,plank.png,,
premium,text,puppy-position.png,,
premium,text,quadriceps-stretch.png,,
premium,text,quadruped-trunk-rotation-training.png,,
premium,text,scapular-retraction-exercise.png,,
premium,text,seated-aerobike.png,,
premium,text,seated-finger-training-with-clothespin.png,,
premium,text,seated-hamstring-stretch-with-towel..png,,
premium,text,seated-hip-adduction-training.png,,
premium,text,seated-knee-extension-side-view.png,,
premium,text,seated-knee-extension.png,,
premium,text,seated-leg-open-stretch.png,,
premium,text,seated-leg-raise-hold.png,,
premium,text,seated-leg-raise.png,,
premium,text,seated-neck-rotation-stretch.png,,
premium,text,seated-popliteal-stretch.png,,
premium,text,seated-shoulder-flexion-with-towel.png,,
premium,text,seated-side-step-exercise.png,,
premium,text,shoulder-horizontal-adduction-stretch.png,,
premium,text,shoulder-raise-with-bar.png,,
premium,text,shoulder-raise.png,,
premium,text,side-bridge.png,,
premium,text,side-lying-hip-abduction.png,,
premium,text,side-plank-on-elbow.png,,
premium,text,side-step.png,,
premium,text,single-leg-bridge.png,,
premium,text,single-leg-heel-raise.png,,
premium,text,single-leg-stand.png,,
premium,text,sit-to-stand-using-chair.png,,
premium,text,sit-to-stand-with-parallel-bars.png,,
premium,text,sitting-quadriceps-stretch.png,,
premium,text,squat.png,,
premium,text,stair-step-right-up-left-down.png,,
premium,text,standing-armpit-stretch.png,,
premium,text,standing-dumbbell-scaption.png,,
premium,text,standing-hip-abduction.png,,
premium,text,standing-left-side-bend-with-towel.png,,
premium,text,standing-leg-raise.png,,
premium,text,standing-right-side-bend-with-towel.png,,
premium,text,standing-trunk-rotation-stretch.png,,
premium,text,step-exercise.png,,
premium,text,step-left-with-band.png,,
premium,text,step-right-with-band.png,,
premium,text,step-to-side.png,,
premium,text,step-up-and-down.png,,
premium,text,supine-hamstring-stretch-with-towel.png,,
premium,text,supine-shoulder-flexion-with-both-hands.png,,
premium,text,thumb-pinky-opposition.png,,
premium,text,towel-gather.png,,
premium,text,towel-side-bend.png,,
premium,text,towel-trunk-rotation.png,,
premium,text,treadmill-walking.png,,
premium,text,trunk-extension-stretch.png,,
premium,text,trunk-flexion-stretch.png,,
premium,text,trunk-rotation.png,,
premium,text,walking.png,,
premium,text,wall-achilles-stretch.png,,
premium,text,wall-push-up.png,,
premium,text,wall-slide.png,,
premium,text,wall-squat.png,,
premium,text,wheelchair-seating-tips.png,,
pro,plain,ankle-dorsiflexion-and-plantarflexion.png,,
pro,plain,cat-and-dog.png,,
pro,plain,diagonal-exercise.png,,
pro,plain,draw-in.png,,
pro,plain,dumbbell-shoulder-abduction.png,,
pro,plain,elbow-flexion-with-bar.png,,
pro,plain,hamstring-stretch.png,,
pro,plain,heel-raise.png,,
pro,plain,heel-slide.png,,
pro,plain,hip-extension-exercise.png,,
pro,plain,hip-flexion-with-knee-extended.png,,
pro,plain,hip-lift.png,,
pro,plain,neck-side-bend-stretch.png,,
pro,plain,pelvic-tilt.png,,
pro,plain,puppy-position.png,,
pro,plain,quadriceps-stretch.png,,
pro,plain,quadruped-trunk-rotation-training.png,,
pro,plain,seated-finger-training-with-clothespin.png,,
pro,plain,seated-hamstring-stretch-with-towel..png,,
pro,plain,seated-hip-adduction-training.png,,
pro,plain,seated-knee-extension-side-view.png,,
pro,plain,seated-knee-extension.png,,
pro,plain,seated-leg-raise.png,,
pro,plain,seated-neck-rotation-stretch.png,,
pro,plain,seated-popliteal-stretch.png,,
pro,plain,seated-shoulder-flexion-with-towel.png,,
pro,plain,seated-side-step-exercise.png,,
pro,plain,shoulder-raise-with-bar.png,,
pro,plain,shoulder-raise.png,,
pro,plain,side-lying-hip-abduction.png,,
pro,plain,side-plank-on-elbow.png,,
pro,plain,side-step.png,,
pro,plain,single-leg-bridge.png,,
pro,plain,single-leg-stand.png,,
pro,plain,sit-to-stand-using-chair.png,,
pro,plain,sit-to-stand-with-parallel-bars.png,,
pro,plain,sitting-quadriceps-stretch.png,,
pro,plain,squat.png,,
pro,plain,standing-armpit-stretch.png,,
pro,plain,standing-hip-abduction.png,,
pro,plain,standing-left-side-bend-with-towel.png,,
pro,plain,standing-leg-raise.png,,
pro,plain,standing-right-side-bend-with-towel.png,,
pro,plain,step-exercise.png,,
pro,plain,step-up-and-down.png,,
pro,plain,supine-hamstring-stretch-with-towel.png,,
pro,plain,towel-gather.png,,
pro,plain,trunk-rotation.png,,
pro,plain,wall-achilles-stretch.png,,
pro,plain,wall-push-up.png,,
pro,text,ankle-dorsiflexion-and-plantarflexion.png,,
pro,text,cat-and-dog.png,,
pro,text,diagonal-exercise.png,,
pro,text,draw-in.png,,
pro,text,dumbbell-shoulder-abduction.png,,
pro,text,elbow-flexion-with-bar.png,,
pro,text,hamstring-stretch.png,,
pro,text,heel-raise.png,,
pro,text,heel-slide.png,,
pro,text,hip-extension-exercise.png,,
pro,text,hip-flexion-with-knee-extended.png,,
pro,text,hip-lift.png,,
pro,text,neck-side-bend-stretch.png,,
pro,text,pelvic-tilt.png,,
pro,text,puppy-position.png,,
pro,text,quadriceps-stretch.png,,
